BUGID,FNAME,CHURN,LOC
28500,qtbase/src/network/access/qnetworkcookie.cpp,2,526
28500,qtbase/src/gui/painting/qcolor.cpp,1,1157
28500,qtbase/src/network/kernel/qnetworkproxy.cpp,2,509
5053,qtbase/tests/auto/gui/painting/qpainter/tst_qpainter.cpp,8,3294
19789,qtbase/src/corelib/statemachine/qstatemachine.cpp,21,1735
19789,qtbase/tests/auto/corelib/statemachine/qstatemachine/tst_qstatemachine.cpp,47.5,3930
19789,qtbase/src/corelib/statemachine/qstatemachine_p.h,0.5,172
24803,qtbase/src/widgets/widgets/qlineedit.cpp,1.5,883
18156,qtbase/tests/auto/tools/uic/baseline/bug18156QTreeWidget.ui.h,38,38
18156,qtbase/src/tools/uic/cpp/cppwriteinitialization.cpp,3,2107
11912,qtbase/qmake/generators/makefile.cpp,1,2830
15631,qtbase/src/corelib/kernel/qcoreevent.cpp,2,78
26008,qtbase/src/printsupport/kernel/qprintengine_win.cpp,8.5,1425
26008,qtbase/tests/auto/printsupport/kernel/qprinter/tst_qprinter.cpp,1,728
28611,qtbase/tests/auto/widgets/widgets/qmdiarea/tst_qmdiarea.cpp,2,1953
28611,qtbase/tests/auto/widgets/kernel/qgridlayout/tst_qgridlayout.cpp,15,1259
28611,qtbase/tests/auto/widgets/styles/qstyle/tst_qstyle.cpp,16,509
27798,qtbase/src/tools/qdoc/ditaxmlgenerator.cpp,1.5,5261
